"","gene","variable","value","region","stage"
"275","Solyc10g084540.1.1","b2.leaf",2.28518478893108,"leaf","1"
"276","Solyc11g007600.1.1","b2.leaf",1.58814176228763,"leaf","1"
"277","Solyc11g008520.1.1","b2.leaf",1.69011443730458,"leaf","1"
"278","Solyc11g010220.1.1","b2.leaf",1.35895174599395,"leaf","1"
"279","Solyc11g011350.1.1","b2.leaf",1.00072466469582,"leaf","1"
"280","Solyc11g011790.1.1","b2.leaf",1.74830309320875,"leaf","1"
"281","Solyc11g011890.1.1","b2.leaf",1.0722966801591,"leaf","1"
"282","Solyc12g010500.1.1","b2.leaf",1.71301657476267,"leaf","1"
"283","Solyc12g010570.1.1","b2.leaf",1.50353656804126,"leaf","1"
"284","Solyc12g100350.1.1","b2.leaf",1.48999253637863,"leaf","1"
"285","Solyc01g056330.1.1","b2.leaf",1.94760912695954,"leaf","1"
"286","Solyc01g095560.2.1","b2.leaf",1.4015245043779,"leaf","1"
"287","Solyc01g110180.2.1","b2.leaf",1.79007318027159,"leaf","1"
"288","Solyc02g050240.2.1","b2.leaf",1.59795175323772,"leaf","1"
"289","Solyc02g069870.1.1","b2.leaf",1.11689567805836,"leaf","1"
"290","Solyc02g085320.1.1","b2.leaf",1.34224376725229,"leaf","1"
"291","Solyc02g092770.2.1","b2.leaf",2.134976673942,"leaf","1"
"292","Solyc03g083880.2.1","b2.leaf",1.54384306720225,"leaf","1"
"293","Solyc03g110890.1.1","b2.leaf",2.27167108503964,"leaf","1"
"294","Solyc04g014830.1.1","b2.leaf",0.9123188422143,"leaf","1"
"295","Solyc05g007640.2.1","b2.leaf",2.14118269388689,"leaf","1"
"296","Solyc05g043410.1.1","b2.leaf",2.07733973152338,"leaf","1"
"297","Solyc05g055540.1.1","b2.leaf",1.06563331801816,"leaf","1"
"298","Solyc06g071610.1.1","b2.leaf",1.9681930260759,"leaf","1"
"299","Solyc06g074240.1.1","b2.leaf",1.2555348034159,"leaf","1"
"300","Solyc07g005170.1.1","b2.leaf",2.28710363668304,"leaf","1"
"301","Solyc07g008440.2.1","b2.leaf",1.22170365335484,"leaf","1"
"302","Solyc07g043250.1.1","b2.leaf",0.769604852339014,"leaf","1"
"303","Solyc07g047640.2.1","b2.leaf",1.04188437109953,"leaf","1"
"304","Solyc07g049550.2.1","b2.leaf",0.918549447446584,"leaf","1"
"305","Solyc08g016310.2.1","b2.leaf",0.661705042945809,"leaf","1"
"306","Solyc08g022180.1.1","b2.leaf",0.97356796628745,"leaf","1"
"307","Solyc09g064490.1.1","b2.leaf",2.52768998688225,"leaf","1"
